component,startdate,enddate,category,Start Date,Uhrzeit Beginn,Datum Ende,Uhrzeit Ende,Komponente,kWp of affected components,Anzahl / Ausmaß betroffener Komponente [-],Incident duration [days],Störungsart/ Beanstandung,Dauer in Stunden,Dauer in Tagen
Plant,2020-08-05 08:00:00+00:00,,Kommunikationsstörung,,,,,,,,,,,
Plant,2020-08-18 14:31:00+00:00,,,,,,,,,,,,,
Plant,2021-04-03 03:59:00+00:00,2021-04-04T08:45:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2021-04-21 05:45:00+00:00,2021-04-21T12:45:00+02:00,MS-Wartung (intern),,,,,,,,,,,
Plant,2021-09-13 12:00:00+00:00,2021-09-14T11:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2021-11-30 23:00:00+00:00,2021-12-31T00:00:00+01:00,Schnee,,,,,,,,,,,
Plant,2021-12-31 23:00:00+00:00,2022-01-31T00:00:00+01:00,Schnee,,,,,,,,,,,
Plant,2022-01-30 08:00:00+00:00,2022-01-30T14:32:00+01:00,Netzstörung,,,,,,,,,,,
Plant,2022-01-31 23:00:00+00:00,2022-02-28T00:00:00+01:00,Schnee,,,,,,,,,,,
Plant,2022-02-09 05:00:00+00:00,2022-02-09T16:30:00+01:00,Netzstörung,,,,,,,,,,,
Plant,2022-04-12 22:00:00+00:00,2022-04-13T13:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2022-04-30 22:00:00+00:00,2022-05-31T00:00:00+02:00,Curtailment,,,,,,,,,,,
Plant,2022-06-30 22:00:00+00:00,2022-07-31T00:00:00+02:00,Curtailment,,,,,,,,,,,
Plant,2022-07-31 22:00:00+00:00,2022-08-31T00:00:00+02:00,Curtailment,,,,,,,,,,,
Plant,2023-06-22 22:00:00+00:00,2023-06-23T11:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2023-10-03 22:00:00+00:00,2023-10-04T10:30:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2023-12-21 23:00:00+00:00,2023-12-22T12:00:00+01:00,Netzstörung,,,,,,,,,,,
Plant,2024-03-07 05:30:00+00:00,2024-03-07T14:20:00+01:00,Sonstiges,,,,,,,,,,,
Plant,2025-06-14 12:00:00+00:00,2025-06-15T14:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2025-08-03 08:00:00+00:00,2025-08-04T11:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2025-08-13 12:45:00+00:00,2025-08-14T11:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2025-09-15 15:40:00+00:00,2025-09-16T13:38:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2026-01-02 12:49:26+00:00,2026-01-12T00:00:00+01:00,Nachrüstung,,,,,,,,,,,
Plant,2026-05-18 11:54:00+00:00,2026-05-19T08:51:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2026-05-28 09:00:00+00:00,2026-05-29T11:00:00+02:00,Netzstörung,,,,,,,,,,,
Plant,2026-05-29 11:00:00+00:00,2026-05-30T09:10:00+02:00,Netzstörung,,,,,,,,,,,
INV 01.07.045,2020-10-04 22:00:00+00:00,2025-07-07T00:00:00+02:00,Strangausfall,,,,,,,,,,,
INV 01.04.024,2021-03-15 13:34:13+00:00,,--,,,,,,,,,,,
INV 01.09.060,2021-03-22 07:00:00+00:00,,--,,,,,,,,,,,
INV 01.07.046,2021-05-02 22:00:00+00:00,2022-12-12T00:00:00+02:00,Strangausfall,,,,,,,,,,,
INV 01.07.047,2021-05-30 22:00:00+00:00,2023-01-30T00:00:00+02:00,Strangausfall,,,,,,,,,,,
INV 01.02.014,2021-07-01 13:34:00+00:00,,unbekannte Störung,,,,,,,,,,,
INV 01.05.032,2021-07-01 13:34:00+00:00,,unbekannte Störung,,,,,,,,,,,
INV 01.02.012,2021-07-01 13:34:00+00:00,,unbekannte Störung,,,,,,,,,,,
INV 01.03.017,2021-07-19 06:00:00+00:00,2021-08-09T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.007,2021-11-30 23:00:00+00:00,2022-03-28T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.03.016,2021-12-31 23:00:00+00:00,2022-01-24T15:43:00+01:00,unbekannte Störung,,,,,,,,,,,
INV 01.03.016,2022-05-22 22:00:00+00:00,2022-06-14T11:57:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.06.040,2022-07-24 22:00:00+00:00,2022-08-11T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.006,2022-07-24 22:00:00+00:00,2022-08-11T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.003,2022-07-24 22:00:00+00:00,2022-08-11T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.004,2022-07-24 22:00:00+00:00,2022-08-11T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.001,2022-09-30 22:00:00+00:00,2022-11-15T15:18:00+01:00,unbekannte Störung,,,,,,,,,,,
INV 01.05.030,2022-09-30 22:00:00+00:00,2022-11-15T15:18:00+01:00,unbekannte Störung,,,,,,,,,,,
INV 01.03.015,2023-06-18 22:00:00+00:00,2023-07-20T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.002,2023-06-18 22:00:00+00:00,2023-07-20T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.004,2023-06-18 22:00:00+00:00,2023-07-20T00:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.02.008,2024-05-12 22:00:00+00:00,2024-05-23T15:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.09.062,2024-05-12 22:00:00+00:00,2024-05-23T15:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.006,2024-05-12 22:00:00+00:00,2024-05-23T15:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.002,2024-05-12 22:00:00+00:00,2024-05-23T15:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.01.004,2024-05-12 22:00:00+00:00,2024-05-23T15:00:00+02:00,unbekannte Störung,,,,,,,,,,,
INV 01.07.045,2024-05-13 22:00:00+00:00,,unbekannte Störung,,,,,,,,,,,
INV 01.08.058,2024-08-29 22:00:00+00:00,2025-08-01T00:00:00+02:00,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.09.062,2025-05-31 22:00:00+00:00,2025-07-07T00:00:00+02:00,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.02.012,2025-05-31 22:00:00+00:00,2025-07-07T00:00:00+02:00,Kondensatoren defekt,,,,,,,,,,,
INV 01.01.004,2025-05-31 22:00:00+00:00,2025-07-07T00:00:00+02:00,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.08.058,2025-05-31 22:00:00+00:00,2025-07-07T00:00:00+02:00,Isolationswerte,,,,,,,,,,,
INV 01.09.065,2025-07-02 22:00:00+00:00,2025-11-05T00:00:00+01:00,Initialisierung-Fehler,,,,,,,,,,,
INV 01.05.035,2025-07-11 22:00:00+00:00,2025-11-05T00:00:00+01:00,Com-Fehler,,,,,,,,,,,
INV 01.06.036,2025-07-11 22:00:00+00:00,2025-11-05T00:00:00+01:00,Kondensatoren defekt,,,,,,,,,,,
INV 01.08.057,2025-07-11 22:00:00+00:00,2025-11-05T00:00:00+01:00,Platinen und mehr defekt,,,,,,,,,,,
INV 01.09.062,2025-08-31 22:00:00+00:00,,Platinen und mehr defekt,,,,,,,,,,,
INV 01.04.023,2025-08-31 22:00:00+00:00,,4-LED Störung,,,,,,,,,,,
INV 01.04.027,2025-08-31 22:00:00+00:00,,4-LED Störung,,,,,,,,,,,
INV 01.09.060,2025-08-31 22:00:00+00:00,,Isolationswerte,,,,,,,,,,,
INV 01.08.058,2025-08-31 22:00:00+00:00,,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.07.048,2026-02-23 23:00:00+00:00,,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.08.053,2026-02-23 23:00:00+00:00,,Initialisierung-Fehler,,,,,,,,,,,
INV 01.04.025,2026-02-23 23:00:00+00:00,,Kondensatoren defekt,,,,,,,,,,,
INV 01.08.052,2026-02-23 23:00:00+00:00,,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.08.058,2026-02-23 23:00:00+00:00,,Fehlerursache konnte nicht ermittelt werden,,,,,,,,,,,
INV 01.06.036,,,--,,,,,,,,,,,
,,,,2019-01-08,06:00:00,2019-01-24,14:00:00,Wechselrichter,30.6,1.0,16.33333333333576,Allgemeine Störung,392.0000000000582,16.33333333333576
,,,,2019-01-12,06:00:00,2019-01-13,14:30:00,Trafostation,1896.98,1.0,1.3541666666642413,Allgemeine Störung,32.49999999994179,1.3541666666642413
,,,,2019-03-11,06:00:00,2019-03-11,15:30:00,,1896.9800000000005,1.0,0.39583333333575865,Allgemeine Störung,9.500000000058208,0.39583333333575865
,,,,2019-05-24,15:00:00,2019-06-16,16:00:00,Wechselrichter,28.8,1.0,23.04166666666424,Allgemeine Störung,552.9999999999418,23.04166666666424
,,,,2019-07-08,12:21:00,2019-07-14,12:21:00,Wechselrichter,30.6,4.0,6.0,Allgemeine Störung,144.0,6.0
,,,,2019-07-31,06:00:00,2019-07-31,18:00:00,Gesamte Anlage,1896.9800000000005,1.0,0.5,Leistungsbegrenzung (intern),12.0,0.5
,,,,2019-08-02,14:52:00,2019-08-08,16:00:00,Wechselrichter,30.6,2.0,6.047222222223354,Allgemeine Störung,145.1333333333605,6.047222222223354
,,,,2019-09-10,06:00:00,2019-09-17,16:00:00,Wechselrichter,30.6,4.0,7.416666666664241,Allgemeine Störung,177.9999999999418,7.416666666664241
,,,,2019-11-16,12:00:00,2019-11-16,16:00:00,Gesamte Anlage,1896.9800000000005,1.0,0.8,Allgemeine Störung,3.9999999999417923,0.16666666666424135
,,,,2019-11-25,06:00:00,2019-11-25,16:00:00,Gesamte Anlage,1896.9800000000005,1.0,1.0,,9.999999999941792,0.41666666666424135
,,,,2020-02-11,12:45:00,2020-02-12,10:45:00,Gesamte Anlage,1896.9800000000005,1.0,0.9166666666642413,Netzstörung,21.999999999941792,0.9166666666642413
